,RF,XGB
Asphericity_anion,0.013014417576049025,0.049610924
Asphericity_cation,0.01018766879704582,0.0024865249
Asphericity_pair,0.021777924376091436,0.038155988
Eccentricity_anion,0.021647201035011793,0.0
Eccentricity_cation,0.006107697457439476,0.0
Eccentricity_pair,0.022614724780327077,0.05816589
ExactMolWt_anion,0.003077718302332869,0.0
ExactMolWt_cation,0.01720272911518386,0.0
ExactMolWt_pair,0.0220649479910671,0.0061920015
FpDensityMorgan1_anion,0.010316220833259114,0.0
FpDensityMorgan1_cation,0.020772419372305968,0.01648588
FpDensityMorgan1_pair,0.012383708524431724,0.028478343
FpDensityMorgan2_anion,0.016619134000558013,0.06003351
FpDensityMorgan2_cation,0.01182537239085724,0.0
FpDensityMorgan2_pair,0.01659282959283693,0.0
HOMO_anion,0.0239564460834108,0.02580605
HOMO_cation,0.018764424774167624,0.035947755
HeavyAtomMolWt_anion,0.006153194356469502,0.0
HeavyAtomMolWt_cation,0.019026947681639043,0.0
HeavyAtomMolWt_pair,0.018070045973764038,0.024623599
InertialShapeFactor_anion,0.007795764827181847,0.0073638107
InertialShapeFactor_cation,0.015067226407832217,0.013510326
InertialShapeFactor_pair,0.009439411723207275,0.001809131
LUMO_anion,0.00937777096974579,0.0
LUMO_cation,0.016072120877800945,0.010394902
MaxAbsPartialCharge_anion,0.011663471066981363,0.008931492
MaxAbsPartialCharge_cation,0.017251157293627133,0.01712208
MaxAbsPartialCharge_pair,0.02700926735846503,0.0
MaxPartialCharge_anion,0.025200750280190608,0.08350804
MaxPartialCharge_cation,0.004934543071505896,0.0
MaxPartialCharge_pair,0.006323102852612583,0.0
MinPartialCharge_anion,0.026554642021523616,0.0035408176
MinPartialCharge_cation,0.01925688520387558,0.003103164
MinPartialCharge_pair,0.016420591524733446,0.0
NPR1_anion,0.0,0.0
NPR1_cation,0.008813306466888991,0.0
NPR1_pair,0.016993910883542955,0.0
NPR2_anion,0.010443801505067008,0.009198057
NPR2_cation,0.007378672625586582,0.0060205697
NPR2_pair,0.010334503217069852,0.0019727647
NumRadicalElectrons_anion,0.0,0.0
NumRadicalElectrons_cation,0.0,0.0
NumRadicalElectrons_pair,0.0,0.0
NumValenceElectrons_anion,0.005287396014364401,0.0
NumValenceElectrons_cation,0.012654062785487287,0.0
NumValenceElectrons_pair,0.01060410269152852,0.0026900594
PMI1_anion,0.0037500671863272255,0.0
PMI1_cation,0.04043590817189679,0.015178022
PMI1_pair,0.01698284564795659,0.0
PMI2_anion,0.005345726623201356,0.0
PMI2_cation,0.02406245268249571,0.0833202
PMI2_pair,0.017683537675760422,0.050527435
PMI3_anion,0.0016930108469788464,0.0014008658
PMI3_cation,0.019582966979948782,0.008784253
PMI3_pair,0.02548343427605576,0.02901739
RadiusOfGyration_anion,0.0008255933952528378,0.027339146
RadiusOfGyration_cation,0.0396359686521311,0.0
RadiusOfGyration_pair,0.020385684006696977,0.064803615
SpherocityIndex_anion,0.02770830948747674,0.008118476
SpherocityIndex_cation,0.004838373889187602,0.0
SpherocityIndex_pair,0.026968104527234475,0.0030357682
dipole_x_anion,0.012172661465872597,0.0023206307
dipole_x_cation,0.009356238103094525,0.0
dipole_y_anion,0.006887518326888837,0.012003504
dipole_y_cation,0.010649865503868733,0.0030754963
dipole_z_anion,0.0025636534518113465,0.0052259266
dipole_z_cation,0.011650413399345123,0.007213542
energy_anion,0.0058087888036282755,0.08131123
energy_cation,0.012653771152329163,0.004299352
volume_anion,0.0008896531100478468,0.0
volume_cation,0.016356060484140986,0.03326684
volume_pair,0.028577157467303976,0.044606637
